,network,rho_train,rho_test,RMSE_train,RMSE_test,NMSE_train,NMSE_test,num_nodes,Win_strength,Win_sparsity,alpha,W_sparsity,leak_rate,data_size,test_fraction,washout_data,training_time,learnmodel_time,testing_time
0,Random Network,0.9546,0.9503,0.0696,0.0722,0.0146387,0.0169196,1000,2,0,0.05,0.5,0,900,0.2,36,2.85,0.27,0.69
1,Random Network,0.9839,0.9822,0.0411,0.0427,0.0051009,0.0059252,1000,2,0,0.1,0.5,0,900,0.2,36,2.85,0.28,0.67
2,Random Network,0.995,0.995,0.0229,0.0229,0.0015869,0.0017084,1000,2,0,0.3,0.5,0,900,0.2,36,2.82,0.27,0.6
3,Random Network,0.9978,0.998,0.0153,0.0147,0.0007068,0.0006971,1000,2,0,0.5,0.5,0,900,0.2,36,2.86,0.27,0.73
4,Random Network,0.9987,0.9989,0.0117,0.0111,0.0004141,0.0004001,1000,2,0,0.7,0.5,0,900,0.2,36,2.86,0.28,0.67
5,Random Network,0.9993,0.9993,0.0088,0.0084,0.0002311,0.0002272,1000,2,0,0.9,0.5,0,900,0.2,36,2.85,0.27,0.69
6,Random Network,0.9994,0.9994,0.0082,0.008,0.0002051,0.0002082,1000,2,0,0.95,0.5,0,900,0.2,36,2.88,0.27,0.66
7,Random Network,0.9994,0.9994,0.0079,0.0079,0.0001897,0.0002026,1000,2,0,0.99,0.5,0,900,0.2,36,2.85,0.27,0.71
8,Random Network,0.9994,0.9994,0.0079,0.0079,0.0001867,0.0002025,1000,2,0,1,0.5,0,900,0.2,36,2.16,0.27,0.39
9,Random Network,0.9994,0.9994,0.0078,0.0079,0.000184,0.0002028,1000,2,0,1.01,0.5,0,900,0.2,36,2.23,0.27,0.49
10,Random Network,0.9994,0.9994,0.0076,0.008,0.0001761,0.0002079,1000,2,0,1.05,0.5,0,900,0.2,36,2.28,0.27,0.52
11,Random Network,0.9995,0.9994,0.0075,0.0083,0.0001714,0.0002215,1000,2,0,1.1,0.5,0,900,0.2,36,2.23,0.27,0.49
12,Random Network,0.9996,0.9988,0.0066,0.0112,0.0001306,0.0004045,1000,2,0,1.3,0.5,0,900,0.2,36,2.22,0.27,0.53
13,Random Network,0.9998,0.9894,0.005,0.0328,7.62e-05,0.0034959,1000,2,0,1.5,0.5,0,900,0.2,36,2.24,0.27,0.5
